Permit Number,Permit Type,Tract,Status,Initiating Office,License Number,Latitude,Longitude,Census Tract,Council District
19042-90000-20873,Plumbing,RAYMUND HEIGHTS TRACT,Permit Finaled,INTERNET,1040074,34.04473,-118.19369,2038,14
18043-10000-04001,Fire Sprinkler,PLATEAU TRACT,Permit Finaled,METRO,692823,34.03249,-118.19313,2039,14
19041-90000-18389,Electrical,SUBDIVISION OF THE CHEESBROUGH TRACT,Permit Finaled,INTERNET,908341,34.0389,-118.19373,2039,14
19019-10000-00134,Bldg-Demolition,SUBDIVISION OF THE CHEESBROUGH TRACT,Permit Finaled,METRO,973501,34.0389,-118.19373,2039,14
19041-10000-26938,Electrical,CARNATION TERRACE TRACT,Permit Finaled,METRO,425036,34.04787,-118.19702,2038,14
20016-30000-00035,Bldg-Alter/Repair,TR 6333,Permit Finaled,WEST LA,692194,34.06208,-118.18761,2014.02,14
19044-90000-10579,HVAC,TR 8453,Permit Finaled,INTERNET,932241,34.05312,-118.19285,2032,14
19041-10000-26939,Electrical,CARNATION TERRACE TRACT,Permit Finaled,METRO,425036,,,2038,14
19042-10000-20921,Plumbing,"RECORDS SUBDIVISION OF THE WESTERLY 1/2 OF LOT 7, BLOCK 74 HANCOCKS SURVEY",Permit Finaled,METRO,622969,34.04587,-118.19696,2038,14
19016-90000-18297,Bldg-Alter/Repair,TR 8453,Permit Finaled,INTERNET,0,34.05404,-118.19307,2032,14
19016-90000-29449,Bldg-Alter/Repair,PIONEER INVESTMENT AND TRUST COMPANY'S CRESTA DEL ARROYO TRACT,Permit Finaled,INTERNET,1010634,34.03218,-118.19698,2039,14
19016-40000-29342,Bldg-Alter/Repair,TR 8453,Issued,SANPEDRO,992285,34.05359,-118.19306,2032,14
19016-90000-28245,Bldg-Alter/Repair,PIONEER INVESTMENT AND TRUST COMPANY'S CRESTA DEL ARROYO TRACT,Permit Finaled,INTERNET,1010634,34.03222,-118.19708,2039,14
19016-10000-21437,Bldg-Alter/Repair,CARNATION TERRACE TRACT,Permit Finaled,METRO,425036,34.04787,-118.19702,2038,14
19042-10000-23079,Plumbing,TR 1735,Permit Finaled,METRO,622969,34.03797,-118.20093,2041.1,14
19044-10000-08891,HVAC,TR 2941,Permit Finaled,METRO,989102,34.04987,-118.19619,2032,14
19042-10000-21027,Plumbing,"E. A. MILLER'S SUBDIVISION OF LOTS 33, 34, 35 OF THE WORKMAN AND HELLMAN SUBDIVI",Permit Finaled,METRO,658111,34.03553,-118.20098,2041.2,14
19044-10000-11619,HVAC,TR 1735,Permit Finaled,METRO,622969,34.03797,-118.20093,2041.1,14
19041-90000-37027,Electrical,"RECORDS SUBDIVISION OF THE WESTERLY 1/2 OF LOT 7, BLOCK 74 HANCOCKS SURVEY",Permit Finaled,INTERNET,859637,34.04587,-118.19696,2038,14
04010-10003-05904,Bldg-Alter/Repair,HYLAND HEIGHTS TRACT,Issued,METRO,871082,34.04237,-118.19737,2038,14
19016-10000-29884,Bldg-Alter/Repair,MOUNTAIN VIEW TRACT,Issued,METRO,978152,34.03287,-118.20068,2041.2,14
21041-90000-15429,Electrical,TR 2271,Issued,INTERNET,1038437,34.03461,-118.20499,2043,14
19042-10000-23793,Plumbing,S 1/2 LOT 5 BLOCK F HANCOCK SURVEY,Permit Finaled,METRO,524221,34.03459,-118.19594,2039,14
19044-10000-09949,HVAC,"RECORDS SUBDIVISION OF THE WESTERLY 1/2 OF LOT 7, BLOCK 74 HANCOCKS SURVEY",Permit Finaled,METRO,622969,34.04603,-118.19726,2038,14
19041-10000-38892,Electrical,LA PALOMA HEIGHTS ADDITION,Permit Finaled,METRO,783429,34.03454,-118.19762,2041.1,14
19030-10000-05843,Grading,PIONEER INVESTMENT AND TRUST COMPANY'S CRESTA DEL ARROYO TRACT,Permit Finaled,METRO,842194,34.02972,-118.19385,2039,14
19044-20000-08037,HVAC,OGILVIE'S GRAND VIEW HEIGHTS TRACT,Permit Finaled,VAN NUYS,989963,34.03679,-118.19885,2041.1,14
19016-10000-28570,Bldg-Alter/Repair,TR 8453,Permit Finaled,METRO,837030,34.05402,-118.19335,2032,14
19042-10000-22838,Plumbing,EAST END TERRACE,Permit Finaled,METRO,765155,34.03561,-118.19378,2039,14
19016-10000-24606,Bldg-Alter/Repair,TR 8453,Permit Finaled,METRO,837030,34.05402,-118.19335,2032,14
19044-10000-12109,HVAC,TR 2941,Permit Finaled,METRO,1022969,34.05032,-118.1948,2032,14
19016-20001-17053,Bldg-Alter/Repair,TR 1809,Issued,VAN NUYS,700548,34.03655,-118.19334,2039,14
16020-10000-00103,Nonbldg-New,TR 2941,Permit Finaled,METRO,423484,34.04873,-118.19358,2032,14
19016-10000-33256,Bldg-Alter/Repair,TR 4812,Issued,METRO,0,34.04325,-118.19558,2038,14
19042-10000-15712,Plumbing,TR 2941,Permit Finaled,METRO,1011919,34.04987,-118.19619,2032,14
19016-90000-28754,Bldg-Alter/Repair,TR 2941,Permit Finaled,INTERNET,970482,34.05138,-118.19409,2032,14
19042-10000-12806,Plumbing,TR 2941,Permit Closed,METRO,989102,34.04987,-118.19619,2032,14
19041-10000-42083,Electrical,CARNATION TERRACE TRACT,Permit Finaled,METRO,1054006,34.0478,-118.1939,2038,14
19044-40000-13248,HVAC,RAYMUND HEIGHTS TRACT,Issued,SANPEDRO,704414,34.04529,-118.19334,2038,14
19041-20000-40941,Electrical,LA PALOMA HEIGHTS TRACT,Permit Finaled,VAN NUYS,1038159,34.03734,-118.19742,2041.1,14
19042-90000-25420,Plumbing,RAYMUND HEIGHTS TRACT,Permit Finaled,INTERNET,1042744,34.04556,-118.19324,2038,14
19041-10000-20626,Electrical,TR 2941,Permit Finaled,METRO,989102,34.04987,-118.19619,2032,14
19041-10001-20626,Electrical,TR 2941,Permit Finaled,METRO,989102,34.04987,-118.19619,2032,14
18016-10000-00150,Bldg-Alter/Repair,TR 2941,Permit Finaled,METRO,0,34.05119,-118.19544,2032,14
19041-10000-41122,Electrical,TR 2941,Permit Finaled,METRO,893236,34.05142,-118.19524,2032,14
19041-10000-39408,Electrical,TR 2941,Permit Finaled,METRO,989102,34.04987,-118.19619,2032,14
18014-70000-01120,Bldg-Addition,PIONEER INVESTMENT AND TRUST COMPANY'S CRESTA DEL ARROYO TRACT,CofO Issued,SOUTH LA,0,34.02952,-118.19396,2039,14
19041-90000-44835,Electrical,CARNATION TERRACE TRACT,Issued,INTERNET,972726,34.04742,-118.19651,2038,14
18014-70001-01120,Bldg-Alter/Repair,PIONEER INVESTMENT AND TRUST COMPANY'S CRESTA DEL ARROYO TRACT,Permit Finaled,SOUTH LA,0,34.02952,-118.19396,2039,14
18014-10002-01120,Bldg-Alter/Repair,PIONEER INVESTMENT AND TRUST COMPANY'S CRESTA DEL ARROYO TRACT,Permit Finaled,METRO,0,34.02952,-118.19396,2039,14
19041-90000-41326,Electrical,PIONEER INVESTMENT AND TRUST COMPANY'S CRESTA DEL ARROYO TRACT,Permit Finaled,INTERNET,972048,34.03136,-118.19515,2039,14
19044-90000-11698,HVAC,CARNATION TERRACE TRACT,Permit Finaled,INTERNET,587709,34.04686,-118.19402,2038,14
19041-90000-41325,Electrical,PIONEER INVESTMENT AND TRUST COMPANY'S CRESTA DEL ARROYO TRACT,Permit Finaled,INTERNET,972048,34.03136,-118.19515,2039,14
19041-10000-45210,Electrical,TR 8453,Issued,METRO,0,34.05359,-118.19306,2032,14
19044-10000-13276,HVAC,CARNATION TERRACE TRACT,Permit Finaled,METRO,622969,34.04599,-118.19657,2038,14
19016-10001-33256,Bldg-Alter/Repair,TR 4812,Permit Finaled,METRO,0,34.04325,-118.19558,2038,14
19016-10000-37001,Bldg-Alter/Repair,TR 5258,Issued,METRO,0,34.05193,-118.19387,2032,14
19044-10000-13124,HVAC,PIONEER INVESTMENT AND TRUST COMPANY'S CRESTA DEL ARROYO TRACT,Permit Finaled,METRO,932164,34.0321,-118.19519,2039,14
19016-90000-35183,Bldg-Alter/Repair,DACOTAH TRACT,Permit Finaled,INTERNET,837030,34.03714,-118.20165,2041.1,14
19041-90000-48320,Electrical,GRIDER AND HAMILTON'S FLORAL PARK,Issued,INTERNET,988324,34.06232,-118.18141,2017,14
18041-90000-19388,Electrical,TR 2941,Refund Completed,INTERNET,888104,34.05088,-118.19523,2032,14
19044-10000-14450,HVAC,CARNATION TERRACE TRACT,Issued,METRO,622969,34.04595,-118.19649,2038,14
18014-10001-02962,Bldg-Alter/Repair,"E. A. MILLER'S SUBDIVISION OF LOTS 33, 34, 35 OF THE WORKMAN AND HELLMAN SUBDIVI",Permit Finaled,METRO,0,,,2041.2,14
19042-10000-29278,Plumbing,CARNATION TERRACE TRACT,Permit Finaled,METRO,622969,34.04675,-118.19672,2038,14
18016-10000-30637,Bldg-Alter/Repair,EAST END TERRACE,Refund Completed,METRO,0,34.03561,-118.19253,2039,14
19030-10000-02704,Grading,PIONEER INVESTMENT AND TRUST COMPANY'S CRESTA DEL ARROYO TRACT,Permit Finaled,METRO,842194,34.02923,-118.19331,2039,14
19030-10000-04128,Grading,PIONEER INVESTMENT AND TRUST COMPANY'S CRESTA DEL ARROYO TRACT,Permit Finaled,METRO,842194,34.02919,-118.19266,2039,14
19016-10000-39456,Bldg-Alter/Repair,TR 2941,Permit Finaled,METRO,982343,34.04958,-118.193,2032,14
19016-20000-30852,Bldg-Alter/Repair,TR 2941,Permit Finaled,VAN NUYS,0,34.05074,-118.19566,2032,14
19016-90000-33407,Bldg-Alter/Repair,EAST END TERRACE,Permit Finaled,INTERNET,923436,34.0344,-118.19349,2039,14
19030-10000-03674,Grading,PIONEER INVESTMENT AND TRUST COMPANY'S CRESTA DEL ARROYO TRACT,Permit Finaled,METRO,842194,34.03033,-118.19364,2039,14
19041-10000-48029,Electrical,CORCORAN TRACT,Permit Finaled,METRO,924167,34.03896,-118.20108,2041.1,14
19016-90000-37602,Bldg-Alter/Repair,LA PALOMA HEIGHTS TRACT,Permit Finaled,INTERNET,970482,34.03726,-118.19722,2041.1,14
18041-10000-48516,Electrical,RAYMUND HEIGHTS TRACT,Issued,METRO,947234,34.04795,-118.19265,2038,14
19042-10000-30302,Plumbing,RAYMUND HEIGHTS TRACT,Permit Finaled,METRO,622969,34.04534,-118.19345,2038,14
21041-10000-11250,Electrical,OGILVIE'S GRAND VIEW HEIGHTS TRACT,Permit Finaled,METRO,961988,34.03548,-118.19989,2041.1,14
20044-40000-00333,HVAC,LA PALOMA HEIGHTS ADDITION,Issued,SANPEDRO,765074,34.03618,-118.19748,2041.1,14
22016-90000-02131,Bldg-Alter/Repair,TR 1323,Permit Finaled,INTERNET,1036102,34.04526,-118.19744,2038,14
22044-90000-01782,HVAC,LA PALOMA HEIGHTS ADDITION,Issued,INTERNET,766254,34.03521,-118.19788,2041.1,14
21041-10002-10715,Electrical,EAST END TERRACE,Issued,METRO,918107,34.03598,-118.19462,2039,14
22042-20000-03901,Plumbing,CARNATION TERRACE TRACT,Issued,VAN NUYS,964098,34.04861,-118.19414,2038,14
19041-70000-14212,Electrical,TR 2941,Permit Finaled,SOUTH LA,923442,34.05119,-118.19544,2032,14
19041-40000-47098,Electrical,LA PALOMA HEIGHTS ADDITION,Permit Finaled,SANPEDRO,766254,34.03521,-118.19788,2041.1,14
18016-90000-21221,Bldg-Alter/Repair,LA PALOMA HEIGHTS ADDITION,Permit Expired,INTERNET,847679,34.03521,-118.19788,2041.1,14
20042-90000-23705,Plumbing,TR 8453,Permit Finaled,INTERNET,944998,34.05306,-118.19383,2032,14
20041-10000-36837,Electrical,MOUNTAIN VIEW TRACT,Permit Finaled,METRO,942023,34.03456,-118.20101,2041.2,14
17016-90000-38315,Bldg-Alter/Repair,LA PALOMA HEIGHTS ADDITION,Permit Finaled,INTERNET,847679,34.03521,-118.19788,2041.1,14
20014-10000-03390,Bldg-Addition,S 1/2 LOT 5 BLOCK F HANCOCK SURVEY,Issued,METRO,0,34.03378,-118.19424,2039,14
20041-20000-39098,Electrical,"E. A. MILLER'S SUBDIVISION OF LOTS 33, 34, 35 OF THE WORKMAN AND HELLMAN SUBDIVI",Permit Finaled,VAN NUYS,447014,34.03552,-118.20233,2041.2,14
20044-20000-11019,HVAC,"E. A. MILLER'S SUBDIVISION OF LOTS 33, 34, 35 OF THE WORKMAN AND HELLMAN SUBDIVI",Permit Finaled,VAN NUYS,447014,34.03552,-118.20233,2041.2,14
20041-90000-16508,Electrical,MOUNTAIN VIEW TRACT,Permit Finaled,INTERNET,888104,34.03456,-118.20101,2041.2,14
20016-20000-29515,Bldg-Alter/Repair,"E. A. MILLER'S SUBDIVISION OF LOTS 33, 34, 35 OF THE WORKMAN AND HELLMAN SUBDIVI",Permit Finaled,VAN NUYS,447014,34.03552,-118.20233,2041.2,14
20042-10000-21643,Plumbing,TR 2941,Permit Finaled,METRO,1061335,34.05133,-118.1953,2032,14
20016-10000-20128,Bldg-Alter/Repair,TR 2941,Permit Finaled,METRO,983897,34.04958,-118.193,2032,14
20041-10000-43863,Electrical,MOUNTAIN VIEW TRACT,Issued,METRO,888104,34.03456,-118.20101,2041.2,14
20041-10000-19215,Electrical,MOUNTAIN VIEW TRACT,Permit Finaled,METRO,888104,34.03456,-118.20101,2041.2,14
22016-90000-05046,Bldg-Alter/Repair,RAYMUND HEIGHTS TRACT,Issued,INTERNET,876769,34.0448,-118.19388,2038,14
22042-20000-03903,Plumbing,CARNATION TERRACE TRACT,Issued,VAN NUYS,964098,34.04851,-118.19391,2038,14
21041-90000-05142,Electrical,TR 1323,Issued,INTERNET,973756,34.04531,-118.19756,2038,14
20041-90000-39727,Electrical,TR 8453,Permit Finaled,INTERNET,1067892,34.05376,-118.19344,2032,14
20042-20000-21390,Plumbing,"E. A. MILLER'S SUBDIVISION OF LOTS 33, 34, 35 OF THE WORKMAN AND HELLMAN SUBDIVI",Permit Finaled,VAN NUYS,447014,34.03552,-118.20233,2041.2,14
20044-10000-09640,HVAC,EAST END TERRACE,Permit Finaled,METRO,587709,34.03499,-118.19324,2039,14
